# Trace from filein = ./62270a01                                                                                                                   
#   time        NI0                                                                                                                          
   2.5886E+00   4.6815E+01
   2.5886E+00   4.6815E+01
   2.5886E+00   4.6815E+01
   2.5886E+00   4.6815E+01
   2.5887E+00   4.6814E+01
   2.5887E+00   4.6815E+01
   2.5888E+00   4.6815E+01
   2.5889E+00   4.6818E+01
   2.5890E+00   4.6821E+01
   2.5891E+00   4.6822E+01
   2.5892E+00   4.6823E+01
   2.5892E+00   4.6823E+01
   2.5893E+00   4.6824E+01
   2.5895E+00   4.6827E+01
   2.5898E+00   4.6836E+01
   2.5904E+00   4.6863E+01
   2.5913E+00   4.6933E+01
   2.5929E+00   4.7099E+01
   2.5957E+00   4.7447E+01
   2.6006E+00   4.8113E+01
   2.6077E+00   4.9075E+01
   2.6152E+00   4.9986E+01
   2.6227E+00   5.0804E+01
   2.6302E+00   5.1550E+01
   2.6377E+00   5.2246E+01
   2.6452E+00   5.2906E+01
   2.6527E+00   5.3547E+01
   2.6602E+00   5.4168E+01
   2.6677E+00   5.4754E+01
   2.6752E+00   5.4149E+01
   2.6753E+00   5.4151E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4152E+01
   2.6753E+00   5.4153E+01
   2.6753E+00   5.4153E+01
   2.6753E+00   5.4154E+01
   2.6753E+00   5.4155E+01
   2.6753E+00   5.4156E+01
   2.6753E+00   5.4157E+01
   2.6753E+00   5.4159E+01
   2.6753E+00   5.4161E+01
   2.6753E+00   5.4163E+01
   2.6753E+00   5.4166E+01
   2.6753E+00   5.4170E+01
   2.6753E+00   5.4175E+01
   2.6753E+00   5.4180E+01
   2.6753E+00   5.4186E+01
   2.6753E+00   5.4194E+01
   2.6753E+00   5.4204E+01
   2.6753E+00   5.4215E+01
   2.6753E+00   5.4230E+01
   2.6753E+00   5.4250E+01
   2.6754E+00   5.4276E+01
   2.6754E+00   5.4302E+01
   2.6754E+00   5.4328E+01
   2.6754E+00   5.4335E+01
   2.6755E+00   5.4337E+01
   2.6755E+00   5.4337E+01
   2.6755E+00   5.4339E+01
   2.6755E+00   5.4340E+01
   2.6755E+00   5.4342E+01
   2.6755E+00   5.4344E+01
   2.6756E+00   5.4346E+01
   2.6756E+00   5.4348E+01
   2.6756E+00   5.4350E+01
   2.6757E+00   5.4351E+01
   2.6757E+00   5.4353E+01
   2.6757E+00   5.4354E+01
   2.6757E+00   5.4354E+01
   2.6757E+00   5.4355E+01
   2.6757E+00   5.4355E+01
   2.6757E+00   5.4355E+01
   2.6757E+00   5.4355E+01
   2.6757E+00   5.4355E+01
   2.6757E+00   5.4356E+01
   2.6757E+00   5.4357E+01
   2.6757E+00   5.4357E+01
   2.6757E+00   5.4357E+01
   2.6757E+00   5.4357E+01
   2.6758E+00   5.4358E+01
   2.6758E+00   5.4358E+01
   2.6758E+00   5.4358E+01
   2.6758E+00   5.4359E+01
   2.6758E+00   5.4360E+01
   2.6758E+00   5.4360E+01
   2.6758E+00   5.4360E+01
   2.6758E+00   5.4361E+01
   2.6758E+00   5.4361E+01
   2.6758E+00   5.4362E+01
   2.6758E+00   5.4364E+01
   2.6758E+00   5.4365E+01
   2.6758E+00   5.4366E+01
   2.6758E+00   5.4367E+01
   2.6758E+00   5.4369E+01
   2.6759E+00   5.4373E+01
   2.6759E+00   5.4376E+01
   2.6759E+00   5.4376E+01
   2.6759E+00   5.4377E+01
   2.6760E+00   5.4379E+01
   2.6760E+00   5.4381E+01
   2.6760E+00   5.4383E+01
   2.6760E+00   5.4385E+01
   2.6760E+00   5.4385E+01
   2.6760E+00   5.4386E+01
   2.6760E+00   5.4386E+01
   2.6760E+00   5.4387E+01
   2.6761E+00   5.4389E+01
   2.6761E+00   5.4390E+01
   2.6761E+00   5.4392E+01
   2.6761E+00   5.4393E+01
   2.6761E+00   5.4394E+01
   2.6762E+00   5.4397E+01
   2.6762E+00   5.4401E+01
   2.6763E+00   5.4408E+01
   2.6764E+00   5.4420E+01
   2.6766E+00   5.4433E+01
   2.6769E+00   5.4449E+01
   2.6774E+00   5.4465E+01
   2.6780E+00   5.4477E+01
   2.6783E+00   5.4486E+01
   2.6787E+00   5.4495E+01
   2.6792E+00   5.4499E+01
   2.6800E+00   5.4491E+01
   2.6812E+00   5.4455E+01
   2.6832E+00   5.4351E+01
   2.6833E+00   5.4351E+01
   2.6834E+00   5.4352E+01
   2.6834E+00   5.4352E+01
   2.6834E+00   5.4353E+01
   2.6834E+00   5.4353E+01
   2.6834E+00   5.4354E+01
   2.6834E+00   5.4354E+01
   2.6834E+00   5.4355E+01
   2.6834E+00   5.4355E+01
   2.6834E+00   5.4356E+01
   2.6835E+00   5.4357E+01
   2.6835E+00   5.4357E+01
   2.6835E+00   5.4358E+01
   2.6835E+00   5.4358E+01
   2.6836E+00   5.4359E+01
   2.6836E+00   5.4360E+01
   2.6837E+00   5.4362E+01
   2.6837E+00   5.4364E+01
   2.6838E+00   5.4367E+01
   2.6839E+00   5.4370E+01
   2.6841E+00   5.4372E+01
   2.6844E+00   5.4373E+01
   2.6848E+00   5.4371E+01
   2.6853E+00   5.4360E+01
   2.6858E+00   5.4344E+01
   2.6867E+00   5.4309E+01
   2.6880E+00   5.4226E+01
   2.6880E+00   5.4226E+01
   2.6880E+00   5.4227E+01
   2.6880E+00   5.4232E+01
   2.6881E+00   5.4232E+01
   2.6881E+00   5.4232E+01
   2.6881E+00   5.4232E+01
   2.6881E+00   5.4232E+01
   2.6881E+00   5.4232E+01
   2.6881E+00   5.4232E+01
   2.6881E+00   5.4232E+01
   2.6881E+00   5.4232E+01
   2.6881E+00   5.4232E+01
   2.6881E+00   5.4232E+01
   2.6881E+00   5.4231E+01
   2.6881E+00   5.4231E+01
   2.6881E+00   5.4231E+01
   2.6881E+00   5.4231E+01
   2.6881E+00   5.4231E+01
   2.6881E+00   5.4231E+01
   2.6881E+00   5.4230E+01
   2.6881E+00   5.4230E+01
   2.6881E+00   5.4230E+01
   2.6881E+00   5.4230E+01
   2.6881E+00   5.4230E+01
   2.6881E+00   5.4229E+01
   2.6881E+00   5.4229E+01
   2.6881E+00   5.4229E+01
   2.6881E+00   5.4229E+01
   2.6881E+00   5.4228E+01
   2.6881E+00   5.4227E+01
   2.6881E+00   5.4226E+01
   2.6882E+00   5.4225E+01
   2.6882E+00   5.4223E+01
   2.6882E+00   5.4223E+01
   2.6882E+00   5.4223E+01
   2.6883E+00   5.4223E+01
   2.6883E+00   5.4222E+01
   2.6883E+00   5.4222E+01
   2.6883E+00   5.4221E+01
   2.6883E+00   5.4220E+01
   2.6884E+00   5.4218E+01
   2.6884E+00   5.4216E+01
   2.6885E+00   5.4212E+01
   2.6886E+00   5.4206E+01
   2.6887E+00   5.4198E+01
   2.6888E+00   5.4192E+01
   2.6889E+00   5.4186E+01
   2.6890E+00   5.4179E+01
   2.6892E+00   5.4166E+01
   2.6895E+00   5.4146E+01
   2.6898E+00   5.4119E+01
   2.6903E+00   5.4083E+01
   2.6909E+00   5.4037E+01
   2.6916E+00   5.3981E+01
   2.6916E+00   5.3979E+01
   2.6916E+00   5.3978E+01
   2.6916E+00   5.3977E+01
   2.6916E+00   5.3976E+01
   2.6916E+00   5.3976E+01
   2.6916E+00   5.3975E+01
   2.6916E+00   5.3975E+01
   2.6916E+00   5.3975E+01
   2.6916E+00   5.3975E+01
   2.6917E+00   5.3975E+01
   2.6917E+00   5.3974E+01
   2.6917E+00   5.3974E+01
   2.6917E+00   5.3974E+01
   2.6917E+00   5.3974E+01
   2.6917E+00   5.3974E+01
   2.6917E+00   5.3974E+01
   2.6917E+00   5.3973E+01
   2.6917E+00   5.3973E+01
   2.6917E+00   5.3972E+01
   2.6917E+00   5.3972E+01
   2.6917E+00   5.3972E+01
   2.6917E+00   5.3972E+01
   2.6917E+00   5.3971E+01
   2.6917E+00   5.3971E+01
   2.6917E+00   5.3970E+01
   2.6917E+00   5.3968E+01
   2.6918E+00   5.3965E+01
   2.6918E+00   5.3960E+01
   2.6919E+00   5.3951E+01
   2.6921E+00   5.3940E+01
   2.6923E+00   5.3921E+01
   2.6923E+00   5.3921E+01
   2.6923E+00   5.3921E+01
   2.6924E+00   5.3920E+01
   2.6924E+00   5.3919E+01
   2.6924E+00   5.3918E+01
   2.6925E+00   5.3914E+01
   2.6925E+00   5.3909E+01
   2.6927E+00   5.3897E+01
   2.6929E+00   5.3877E+01
   2.6930E+00   5.3873E+01
   2.6930E+00   5.3870E+01
   2.6931E+00   5.3866E+01
   2.6932E+00   5.3858E+01
   2.6933E+00   5.3844E+01
   2.6936E+00   5.3818E+01
   2.6941E+00   5.3770E+01
