# Trace from filein = ./62270a01                                                                                                                   
#   time        TI0                                                                                                                          
   2.6753E+00   1.4877E+00
   2.6753E+00   1.4874E+00
   2.6754E+00   1.4871E+00
   2.6754E+00   1.4867E+00
   2.6754E+00   1.4863E+00
   2.6754E+00   1.4862E+00
   2.6755E+00   1.4861E+00
   2.6755E+00   1.4861E+00
   2.6755E+00   1.4861E+00
   2.6755E+00   1.4860E+00
   2.6755E+00   1.4860E+00
   2.6755E+00   1.4860E+00
   2.6756E+00   1.4859E+00
   2.6756E+00   1.4859E+00
   2.6756E+00   1.4858E+00
   2.6757E+00   1.4858E+00
   2.6757E+00   1.4858E+00
   2.6757E+00   1.4858E+00
   2.6757E+00   1.4858E+00
   2.6757E+00   1.4858E+00
   2.6757E+00   1.4858E+00
   2.6757E+00   1.4858E+00
   2.6757E+00   1.4858E+00
   2.6757E+00   1.4857E+00
   2.6757E+00   1.4857E+00
   2.6757E+00   1.4857E+00
   2.6757E+00   1.4857E+00
   2.6757E+00   1.4857E+00
   2.6757E+00   1.4857E+00
   2.6758E+00   1.4857E+00
   2.6758E+00   1.4857E+00
   2.6758E+00   1.4857E+00
   2.6758E+00   1.4857E+00
   2.6758E+00   1.4857E+00
   2.6758E+00   1.4857E+00
   2.6758E+00   1.4857E+00
   2.6758E+00   1.4857E+00
   2.6758E+00   1.4857E+00
   2.6758E+00   1.4857E+00
   2.6758E+00   1.4856E+00
   2.6758E+00   1.4856E+00
   2.6758E+00   1.4856E+00
   2.6758E+00   1.4856E+00
   2.6758E+00   1.4856E+00
   2.6759E+00   1.4855E+00
   2.6759E+00   1.4855E+00
   2.6759E+00   1.4855E+00
   2.6759E+00   1.4855E+00
   2.6760E+00   1.4854E+00
   2.6760E+00   1.4854E+00
   2.6760E+00   1.4854E+00
   2.6760E+00   1.4853E+00
   2.6760E+00   1.4853E+00
   2.6760E+00   1.4853E+00
   2.6760E+00   1.4853E+00
   2.6760E+00   1.4853E+00
   2.6761E+00   1.4853E+00
   2.6761E+00   1.4852E+00
   2.6761E+00   1.4852E+00
   2.6761E+00   1.4852E+00
   2.6761E+00   1.4852E+00
   2.6762E+00   1.4851E+00
   2.6762E+00   1.4851E+00
   2.6763E+00   1.4850E+00
   2.6764E+00   1.4849E+00
   2.6766E+00   1.4851E+00
   2.6769E+00   1.4856E+00
   2.6774E+00   1.4867E+00
   2.6780E+00   1.4887E+00
   2.6783E+00   1.4895E+00
   2.6787E+00   1.4909E+00
   2.6792E+00   1.4930E+00
   2.6800E+00   1.4965E+00
   2.6812E+00   1.5025E+00
   2.6832E+00   1.5127E+00
   2.6833E+00   1.5129E+00
   2.6834E+00   1.5132E+00
   2.6834E+00   1.5133E+00
   2.6834E+00   1.5134E+00
   2.6834E+00   1.5134E+00
   2.6834E+00   1.5134E+00
   2.6834E+00   1.5135E+00
   2.6834E+00   1.5135E+00
   2.6834E+00   1.5135E+00
   2.6834E+00   1.5136E+00
   2.6835E+00   1.5138E+00
   2.6835E+00   1.5139E+00
   2.6835E+00   1.5141E+00
   2.6835E+00   1.5143E+00
   2.6836E+00   1.5145E+00
   2.6836E+00   1.5148E+00
   2.6837E+00   1.5153E+00
   2.6837E+00   1.5161E+00
   2.6838E+00   1.5171E+00
   2.6839E+00   1.5182E+00
   2.6841E+00   1.5198E+00
   2.6844E+00   1.5220E+00
   2.6848E+00   1.5250E+00
   2.6853E+00   1.5291E+00
   2.6858E+00   1.5333E+00
   2.6867E+00   1.5395E+00
   2.6880E+00   1.5489E+00
   2.6880E+00   1.5490E+00
   2.6880E+00   1.5493E+00
   2.6880E+00   1.5498E+00
   2.6881E+00   1.5498E+00
   2.6881E+00   1.5498E+00
   2.6881E+00   1.5498E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5499E+00
   2.6881E+00   1.5500E+00
   2.6881E+00   1.5500E+00
   2.6881E+00   1.5500E+00
   2.6881E+00   1.5501E+00
   2.6882E+00   1.5502E+00
   2.6882E+00   1.5503E+00
   2.6882E+00   1.5504E+00
   2.6882E+00   1.5504E+00
   2.6883E+00   1.5504E+00
   2.6883E+00   1.5504E+00
   2.6883E+00   1.5505E+00
   2.6883E+00   1.5506E+00
   2.6883E+00   1.5507E+00
   2.6884E+00   1.5508E+00
   2.6884E+00   1.5509E+00
   2.6885E+00   1.5512E+00
   2.6886E+00   1.5518E+00
   2.6887E+00   1.5526E+00
   2.6888E+00   1.5530E+00
   2.6889E+00   1.5535E+00
   2.6890E+00   1.5542E+00
   2.6892E+00   1.5553E+00
   2.6895E+00   1.5570E+00
   2.6898E+00   1.5593E+00
   2.6903E+00   1.5621E+00
   2.6909E+00   1.5656E+00
   2.6916E+00   1.5697E+00
   2.6916E+00   1.5698E+00
   2.6916E+00   1.5701E+00
   2.6916E+00   1.5703E+00
   2.6916E+00   1.5705E+00
   2.6916E+00   1.5706E+00
   2.6916E+00   1.5706E+00
   2.6916E+00   1.5707E+00
   2.6916E+00   1.5707E+00
   2.6916E+00   1.5707E+00
   2.6917E+00   1.5707E+00
   2.6917E+00   1.5707E+00
   2.6917E+00   1.5707E+00
   2.6917E+00   1.5707E+00
   2.6917E+00   1.5707E+00
   2.6917E+00   1.5707E+00
   2.6917E+00   1.5707E+00
   2.6917E+00   1.5707E+00
   2.6917E+00   1.5707E+00
   2.6917E+00   1.5707E+00
   2.6917E+00   1.5707E+00
   2.6917E+00   1.5708E+00
   2.6917E+00   1.5708E+00
   2.6917E+00   1.5708E+00
   2.6917E+00   1.5708E+00
   2.6917E+00   1.5708E+00
   2.6917E+00   1.5708E+00
   2.6918E+00   1.5709E+00
   2.6918E+00   1.5710E+00
   2.6919E+00   1.5712E+00
   2.6921E+00   1.5720E+00
   2.6923E+00   1.5734E+00
   2.6923E+00   1.5735E+00
   2.6923E+00   1.5736E+00
   2.6924E+00   1.5737E+00
   2.6924E+00   1.5738E+00
   2.6924E+00   1.5740E+00
   2.6925E+00   1.5743E+00
   2.6925E+00   1.5748E+00
   2.6927E+00   1.5757E+00
   2.6929E+00   1.5772E+00
   2.6930E+00   1.5775E+00
   2.6930E+00   1.5777E+00
   2.6931E+00   1.5780E+00
   2.6932E+00   1.5786E+00
   2.6933E+00   1.5797E+00
   2.6936E+00   1.5814E+00
   2.6941E+00   1.5845E+00
   2.6950E+00   1.5894E+00
   2.6965E+00   1.5972E+00
   2.6992E+00   1.6074E+00
   2.7038E+00   1.6223E+00
   2.7113E+00   1.6401E+00
   2.7113E+00   1.6401E+00
   2.7113E+00   1.6401E+00
   2.7113E+00   1.6401E+00
   2.7113E+00   1.6401E+00
   2.7113E+00   1.6401E+00
   2.7113E+00   1.6401E+00
   2.7113E+00   1.6401E+00
   2.7113E+00   1.6401E+00
   2.7113E+00   1.6400E+00
   2.7113E+00   1.6400E+00
   2.7113E+00   1.6400E+00
   2.7113E+00   1.6399E+00
   2.7113E+00   1.6399E+00
   2.7113E+00   1.6399E+00
   2.7113E+00   1.6398E+00
   2.7113E+00   1.6397E+00
   2.7113E+00   1.6397E+00
   2.7113E+00   1.6397E+00
   2.7114E+00   1.6398E+00
   2.7114E+00   1.6398E+00
   2.7114E+00   1.6399E+00
   2.7114E+00   1.6400E+00
   2.7115E+00   1.6401E+00
   2.7115E+00   1.6402E+00
   2.7115E+00   1.6403E+00
   2.7115E+00   1.6404E+00
   2.7116E+00   1.6406E+00
   2.7116E+00   1.6407E+00
   2.7116E+00   1.6408E+00
   2.7116E+00   1.6409E+00
   2.7116E+00   1.6409E+00
   2.7117E+00   1.6409E+00
   2.7117E+00   1.6410E+00
   2.7117E+00   1.6411E+00
   2.7117E+00   1.6411E+00
   2.7117E+00   1.6412E+00
   2.7118E+00   1.6413E+00
   2.7118E+00   1.6415E+00
   2.7118E+00   1.6417E+00
   2.7119E+00   1.6421E+00
   2.7120E+00   1.6426E+00
   2.7121E+00   1.6432E+00
   2.7122E+00   1.6436E+00
   2.7123E+00   1.6443E+00
   2.7124E+00   1.6447E+00
   2.7125E+00   1.6452E+00
   2.7126E+00   1.6459E+00
   2.7129E+00   1.6471E+00
   2.7133E+00   1.6490E+00
   2.7140E+00   1.6521E+00
   2.7153E+00   1.6567E+00
   2.7176E+00   1.6631E+00
   2.7190E+00   1.6674E+00
   2.7208E+00   1.6722E+00
   2.7234E+00   1.6777E+00
   2.7274E+00   1.6838E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
   2.7343E+00   1.6892E+00
