# Trace from filein = ./62270a01                                                                                                                   
#   time        TE0                                                                                                                          
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7128E+00
   2.6753E+00   1.7127E+00
   2.6753E+00   1.7127E+00
   2.6753E+00   1.7127E+00
   2.6753E+00   1.7126E+00
   2.6753E+00   1.7126E+00
   2.6753E+00   1.7125E+00
   2.6753E+00   1.7124E+00
   2.6753E+00   1.7123E+00
   2.6753E+00   1.7121E+00
   2.6753E+00   1.7120E+00
   2.6753E+00   1.7118E+00
   2.6753E+00   1.7115E+00
   2.6753E+00   1.7112E+00
   2.6753E+00   1.7108E+00
   2.6753E+00   1.7104E+00
   2.6753E+00   1.7098E+00
   2.6754E+00   1.7090E+00
   2.6754E+00   1.7082E+00
   2.6754E+00   1.7074E+00
   2.6754E+00   1.7072E+00
   2.6755E+00   1.7071E+00
   2.6755E+00   1.7071E+00
   2.6755E+00   1.7071E+00
   2.6755E+00   1.7071E+00
   2.6755E+00   1.7071E+00
   2.6755E+00   1.7070E+00
   2.6756E+00   1.7070E+00
   2.6756E+00   1.7070E+00
   2.6756E+00   1.7070E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6757E+00   1.7069E+00
   2.6758E+00   1.7069E+00
   2.6758E+00   1.7069E+00
   2.6758E+00   1.7069E+00
   2.6758E+00   1.7068E+00
   2.6758E+00   1.7068E+00
   2.6758E+00   1.7068E+00
   2.6758E+00   1.7068E+00
   2.6758E+00   1.7068E+00
   2.6758E+00   1.7068E+00
   2.6758E+00   1.7068E+00
   2.6758E+00   1.7067E+00
   2.6758E+00   1.7067E+00
   2.6758E+00   1.7067E+00
   2.6758E+00   1.7067E+00
   2.6758E+00   1.7066E+00
   2.6759E+00   1.7066E+00
   2.6759E+00   1.7065E+00
   2.6759E+00   1.7065E+00
   2.6759E+00   1.7065E+00
   2.6760E+00   1.7065E+00
   2.6760E+00   1.7064E+00
   2.6760E+00   1.7064E+00
   2.6760E+00   1.7063E+00
   2.6760E+00   1.7063E+00
   2.6760E+00   1.7063E+00
   2.6760E+00   1.7063E+00
   2.6760E+00   1.7063E+00
   2.6761E+00   1.7063E+00
   2.6761E+00   1.7063E+00
   2.6761E+00   1.7062E+00
   2.6761E+00   1.7062E+00
   2.6761E+00   1.7062E+00
   2.6762E+00   1.7062E+00
   2.6762E+00   1.7061E+00
   2.6763E+00   1.7060E+00
   2.6764E+00   1.7057E+00
   2.6766E+00   1.7056E+00
   2.6769E+00   1.7055E+00
   2.6774E+00   1.7058E+00
   2.6780E+00   1.7066E+00
   2.6783E+00   1.7069E+00
   2.6787E+00   1.7074E+00
   2.6792E+00   1.7084E+00
   2.6800E+00   1.7106E+00
   2.6812E+00   1.7148E+00
   2.6832E+00   1.7232E+00
   2.6833E+00   1.7233E+00
   2.6834E+00   1.7235E+00
   2.6834E+00   1.7235E+00
   2.6834E+00   1.7235E+00
   2.6834E+00   1.7235E+00
   2.6834E+00   1.7235E+00
   2.6834E+00   1.7235E+00
   2.6834E+00   1.7234E+00
   2.6834E+00   1.7234E+00
