# Trace from filein = ./62270a01                                                                                                                   
#   time        PRAD                                                                                                                         
   2.6917E+00  -1.2502E-01
   2.6917E+00  -1.2624E-01
   2.6917E+00  -1.2746E-01
   2.6917E+00  -1.2822E-01
   2.6917E+00  -1.2856E-01
   2.6918E+00  -1.2864E-01
   2.6918E+00  -1.2858E-01
   2.6919E+00  -1.2850E-01
   2.6921E+00  -1.2810E-01
   2.6923E+00  -1.2824E-01
   2.6923E+00  -1.2833E-01
   2.6923E+00  -1.3221E-01
   2.6924E+00  -1.3231E-01
   2.6924E+00  -1.2979E-01
   2.6924E+00  -1.2943E-01
   2.6925E+00  -1.2903E-01
   2.6925E+00  -1.2874E-01
   2.6927E+00  -1.2855E-01
   2.6929E+00  -1.2845E-01
   2.6930E+00  -1.2839E-01
   2.6930E+00  -1.2788E-01
   2.6931E+00  -1.2837E-01
   2.6932E+00  -1.2856E-01
   2.6933E+00  -1.2858E-01
   2.6936E+00  -1.2855E-01
   2.6941E+00  -1.2852E-01
   2.6950E+00  -1.2851E-01
   2.6965E+00  -1.2855E-01
   2.6992E+00  -1.2872E-01
   2.7038E+00  -1.2884E-01
   2.7113E+00  -1.2904E-01
   2.7113E+00  -1.2912E-01
   2.7113E+00  -2.1226E-01
   2.7113E+00  -2.1231E-01
   2.7113E+00  -2.1234E-01
   2.7113E+00  -2.1239E-01
   2.7113E+00  -2.1241E-01
   2.7113E+00  -2.1243E-01
   2.7113E+00  -2.1247E-01
   2.7113E+00  -2.1253E-01
   2.7113E+00  -2.1260E-01
   2.7113E+00  -2.1268E-01
   2.7113E+00  -2.1278E-01
   2.7113E+00  -2.1290E-01
   2.7113E+00  -2.1305E-01
   2.7113E+00  -2.1323E-01
   2.7113E+00  -1.9927E-01
   2.7113E+00  -1.7200E-01
   2.7113E+00  -1.4974E-01
   2.7114E+00  -1.3577E-01
   2.7114E+00  -1.2874E-01
   2.7114E+00  -1.2615E-01
   2.7114E+00  -1.2614E-01
   2.7115E+00  -1.2612E-01
   2.7115E+00  -1.2611E-01
   2.7115E+00  -1.2622E-01
   2.7115E+00  -1.2712E-01
   2.7116E+00  -1.2811E-01
   2.7116E+00  -1.2911E-01
   2.7116E+00  -1.2960E-01
   2.7116E+00  -1.3177E-01
   2.7116E+00  -1.3129E-01
   2.7117E+00  -1.3156E-01
   2.7117E+00  -1.3072E-01
   2.7117E+00  -1.3017E-01
   2.7117E+00  -1.2964E-01
   2.7117E+00  -1.2769E-01
   2.7118E+00  -1.2855E-01
   2.7118E+00  -1.2929E-01
   2.7118E+00  -1.2957E-01
   2.7119E+00  -1.2963E-01
   2.7120E+00  -1.2958E-01
   2.7121E+00  -1.2949E-01
   2.7122E+00  -1.2972E-01
   2.7123E+00  -1.2954E-01
   2.7124E+00  -1.2871E-01
   2.7125E+00  -1.2911E-01
   2.7126E+00  -1.2936E-01
   2.7129E+00  -1.2946E-01
   2.7133E+00  -1.2948E-01
   2.7140E+00  -1.2947E-01
   2.7153E+00  -1.2945E-01
   2.7176E+00  -1.2943E-01
   2.7190E+00  -1.2941E-01
   2.7208E+00  -1.2945E-01
   2.7234E+00  -1.2947E-01
   2.7274E+00  -1.2948E-01
   2.7343E+00  -1.2947E-01
   2.7343E+00  -1.2966E-01
