# Trace from filein = ./62270a01                                                                                                                   
#   time        NE0                                                                                                                          
   2.5885E+00   4.7069E+01
   2.5885E+00   4.7069E+01
   2.5885E+00   4.7069E+01
   2.5886E+00   4.7069E+01
   2.5886E+00   4.7069E+01
   2.5886E+00   4.7068E+01
   2.5886E+00   4.7068E+01
   2.5886E+00   4.7068E+01
   2.5886E+00   4.7068E+01
   2.5887E+00   4.7068E+01
   2.5887E+00   4.7068E+01
   2.5888E+00   4.7068E+01
   2.5889E+00   4.7070E+01
   2.5890E+00   4.7073E+01
   2.5891E+00   4.7073E+01
   2.5892E+00   4.7073E+01
   2.5892E+00   4.7073E+01
   2.5893E+00   4.7073E+01
   2.5895E+00   4.7074E+01
   2.5898E+00   4.7081E+01
   2.5904E+00   4.7105E+01
   2.5913E+00   4.7174E+01
   2.5929E+00   4.7341E+01
   2.5957E+00   4.7696E+01
   2.6006E+00   4.8376E+01
   2.6077E+00   4.9357E+01
   2.6152E+00   5.0283E+01
   2.6227E+00   5.1113E+01
   2.6302E+00   5.1868E+01
   2.6377E+00   5.2570E+01
   2.6452E+00   5.3235E+01
   2.6527E+00   5.3879E+01
   2.6602E+00   5.4502E+01
   2.6677E+00   5.5089E+01
   2.6752E+00   5.4459E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4462E+01
   2.6753E+00   5.4463E+01
   2.6753E+00   5.4463E+01
   2.6753E+00   5.4464E+01
   2.6753E+00   5.4465E+01
   2.6753E+00   5.4466E+01
   2.6753E+00   5.4467E+01
   2.6753E+00   5.4469E+01
   2.6753E+00   5.4471E+01
   2.6753E+00   5.4473E+01
   2.6753E+00   5.4476E+01
   2.6753E+00   5.4480E+01
   2.6753E+00   5.4485E+01
   2.6753E+00   5.4490E+01
   2.6753E+00   5.4497E+01
   2.6753E+00   5.4504E+01
   2.6753E+00   5.4514E+01
   2.6753E+00   5.4526E+01
   2.6753E+00   5.4541E+01
   2.6753E+00   5.4560E+01
   2.6754E+00   5.4586E+01
   2.6754E+00   5.4612E+01
   2.6754E+00   5.4638E+01
   2.6754E+00   5.4645E+01
   2.6755E+00   5.4646E+01
   2.6755E+00   5.4647E+01
   2.6755E+00   5.4648E+01
   2.6755E+00   5.4649E+01
   2.6755E+00   5.4651E+01
   2.6755E+00   5.4652E+01
   2.6756E+00   5.4654E+01
   2.6756E+00   5.4655E+01
   2.6756E+00   5.4657E+01
   2.6757E+00   5.4658E+01
   2.6757E+00   5.4659E+01
   2.6757E+00   5.4660E+01
   2.6757E+00   5.4660E+01
   2.6757E+00   5.4660E+01
   2.6757E+00   5.4660E+01
   2.6757E+00   5.4660E+01
   2.6757E+00   5.4661E+01
   2.6757E+00   5.4661E+01
   2.6757E+00   5.4661E+01
   2.6757E+00   5.4663E+01
   2.6757E+00   5.4663E+01
   2.6757E+00   5.4663E+01
   2.6757E+00   5.4663E+01
   2.6758E+00   5.4663E+01
   2.6758E+00   5.4663E+01
   2.6758E+00   5.4663E+01
   2.6758E+00   5.4664E+01
   2.6758E+00   5.4665E+01
   2.6758E+00   5.4665E+01
   2.6758E+00   5.4665E+01
   2.6758E+00   5.4666E+01
   2.6758E+00   5.4666E+01
   2.6758E+00   5.4667E+01
   2.6758E+00   5.4668E+01
   2.6758E+00   5.4669E+01
   2.6758E+00   5.4670E+01
   2.6758E+00   5.4671E+01
   2.6758E+00   5.4673E+01
   2.6759E+00   5.4676E+01
   2.6759E+00   5.4679E+01
   2.6759E+00   5.4679E+01
   2.6759E+00   5.4680E+01
   2.6760E+00   5.4681E+01
   2.6760E+00   5.4683E+01
   2.6760E+00   5.4684E+01
   2.6760E+00   5.4687E+01
   2.6760E+00   5.4687E+01
   2.6760E+00   5.4687E+01
   2.6760E+00   5.4688E+01
   2.6760E+00   5.4688E+01
   2.6761E+00   5.4690E+01
   2.6761E+00   5.4691E+01
   2.6761E+00   5.4693E+01
   2.6761E+00   5.4693E+01
   2.6761E+00   5.4694E+01
   2.6762E+00   5.4696E+01
   2.6762E+00   5.4700E+01
   2.6763E+00   5.4706E+01
   2.6764E+00   5.4717E+01
   2.6766E+00   5.4729E+01
   2.6769E+00   5.4743E+01
   2.6774E+00   5.4756E+01
   2.6780E+00   5.4763E+01
   2.6783E+00   5.4771E+01
   2.6787E+00   5.4776E+01
   2.6792E+00   5.4777E+01
   2.6800E+00   5.4765E+01
   2.6812E+00   5.4722E+01
   2.6832E+00   5.4609E+01
   2.6833E+00   5.4608E+01
   2.6834E+00   5.4608E+01
   2.6834E+00   5.4608E+01
   2.6834E+00   5.4609E+01
   2.6834E+00   5.4609E+01
   2.6834E+00   5.4610E+01
   2.6834E+00   5.4610E+01
   2.6834E+00   5.4611E+01
   2.6834E+00   5.4611E+01
   2.6834E+00   5.4611E+01
   2.6835E+00   5.4612E+01
   2.6835E+00   5.4612E+01
   2.6835E+00   5.4612E+01
   2.6835E+00   5.4613E+01
   2.6836E+00   5.4613E+01
   2.6836E+00   5.4614E+01
   2.6837E+00   5.4615E+01
   2.6837E+00   5.4617E+01
   2.6838E+00   5.4619E+01
   2.6839E+00   5.4621E+01
   2.6841E+00   5.4622E+01
   2.6844E+00   5.4621E+01
   2.6848E+00   5.4616E+01
   2.6853E+00   5.4602E+01
