# Trace from filein = ./62270n01                                                                                                                   
#   time        TI0                                                                                                                          
   2.3996E+00   1.3040E+00
   2.3996E+00   1.3048E+00
   2.3997E+00   1.3057E+00
   2.3997E+00   1.3067E+00
   2.3997E+00   1.3076E+00
   2.3997E+00   1.3085E+00
   2.3998E+00   1.3100E+00
   2.3999E+00   1.3123E+00
   2.4000E+00   1.3159E+00
   2.4003E+00   1.3213E+00
   2.4008E+00   1.3290E+00
   2.4011E+00   1.3342E+00
   2.4016E+00   1.3416E+00
   2.4019E+00   1.3457E+00
   2.4024E+00   1.3517E+00
   2.4027E+00   1.3557E+00
   2.4032E+00   1.3615E+00
   2.4035E+00   1.3654E+00
   2.4038E+00   1.3684E+00
   2.4041E+00   1.3721E+00
   2.4044E+00   1.3746E+00
   2.4048E+00   1.3786E+00
   2.4051E+00   1.3814E+00
   2.4056E+00   1.3856E+00
   2.4059E+00   1.3886E+00
   2.4065E+00   1.3932E+00
   2.4065E+00   1.3932E+00
   2.4065E+00   1.3932E+00
   2.4065E+00   1.3932E+00
   2.4065E+00   1.3933E+00
   2.4065E+00   1.3933E+00
   2.4065E+00   1.3934E+00
   2.4065E+00   1.3936E+00
   2.4066E+00   1.3938E+00
   2.4066E+00   1.3943E+00
   2.4067E+00   1.3950E+00
   2.4069E+00   1.3962E+00
   2.4071E+00   1.3981E+00
   2.4076E+00   1.4008E+00
   2.4078E+00   1.4027E+00
   2.4083E+00   1.4054E+00
   2.4087E+00   1.4072E+00
   2.4092E+00   1.4100E+00
   2.4096E+00   1.4120E+00
   2.4099E+00   1.4132E+00
   2.4103E+00   1.4150E+00
   2.4105E+00   1.4162E+00
   2.4109E+00   1.4181E+00
   2.4112E+00   1.4194E+00
   2.4117E+00   1.4214E+00
   2.4121E+00   1.4227E+00
   2.4126E+00   1.4248E+00
   2.4130E+00   1.4260E+00
   2.4132E+00   1.4267E+00
   2.4134E+00   1.4275E+00
   2.4139E+00   1.4289E+00
   2.4141E+00   1.4296E+00
   2.4145E+00   1.4307E+00
   2.4147E+00   1.4314E+00
   2.4151E+00   1.4326E+00
   2.4156E+00   1.4341E+00
   2.4160E+00   1.4352E+00
   2.4162E+00   1.4359E+00
   2.4167E+00   1.4371E+00
   2.4169E+00   1.4378E+00
   2.4174E+00   1.4390E+00
   2.4176E+00   1.4397E+00
   2.4181E+00   1.4410E+00
   2.4184E+00   1.4417E+00
   2.4189E+00   1.4430E+00
   2.4192E+00   1.4438E+00
   2.4197E+00   1.4451E+00
   2.4198E+00   1.4457E+00
   2.4198E+00   1.4461E+00
   2.4198E+00   1.4464E+00
   2.4199E+00   1.4469E+00
   2.4199E+00   1.4472E+00
   2.4200E+00   1.4477E+00
   2.4201E+00   1.4486E+00
   2.4203E+00   1.4501E+00
   2.4206E+00   1.4525E+00
   2.4211E+00   1.4561E+00
   2.4220E+00   1.4615E+00
   2.4220E+00   1.4615E+00
   2.4220E+00   1.4615E+00
   2.4220E+00   1.4615E+00
   2.4220E+00   1.4615E+00
   2.4220E+00   1.4615E+00
   2.4220E+00   1.4615E+00
   2.4221E+00   1.4615E+00
   2.4221E+00   1.4615E+00
   2.4221E+00   1.4616E+00
   2.4221E+00   1.4616E+00
   2.4221E+00   1.4617E+00
   2.4222E+00   1.4618E+00
   2.4223E+00   1.4619E+00
   2.4226E+00   1.4623E+00
   2.4230E+00   1.4629E+00
   2.4232E+00   1.4634E+00
   2.4237E+00   1.4643E+00
   2.4241E+00   1.4650E+00
   2.4244E+00   1.4655E+00
   2.4249E+00   1.4665E+00
   2.4253E+00   1.4673E+00
   2.4256E+00   1.4678E+00
   2.4261E+00   1.4689E+00
   2.4265E+00   1.4697E+00
