# Trace from filein = ./62270n01                                                                                                                   
#   time        TE0                                                                                                                          
   2.4709E+00   1.6589E+00
   2.4709E+00   1.6589E+00
   2.4709E+00   1.6589E+00
   2.4709E+00   1.6589E+00
   2.4709E+00   1.6589E+00
   2.4709E+00   1.6589E+00
   2.4709E+00   1.6589E+00
   2.4709E+00   1.6589E+00
   2.4710E+00   1.6589E+00
   2.4710E+00   1.6589E+00
   2.4710E+00   1.6590E+00
   2.4711E+00   1.6590E+00
   2.4711E+00   1.6590E+00
   2.4712E+00   1.6590E+00
   2.4713E+00   1.6591E+00
   2.4713E+00   1.6591E+00
   2.4713E+00   1.6591E+00
   2.4714E+00   1.6592E+00
   2.4714E+00   1.6592E+00
   2.4715E+00   1.6593E+00
   2.4716E+00   1.6593E+00
   2.4717E+00   1.6595E+00
   2.4720E+00   1.6599E+00
   2.4724E+00   1.6609E+00
   2.4732E+00   1.6626E+00
   2.4732E+00   1.6626E+00
   2.4732E+00   1.6626E+00
   2.4732E+00   1.6626E+00
   2.4732E+00   1.6626E+00
   2.4732E+00   1.6626E+00
   2.4732E+00   1.6626E+00
   2.4732E+00   1.6627E+00
   2.4732E+00   1.6627E+00
   2.4732E+00   1.6627E+00
   2.4733E+00   1.6628E+00
   2.4734E+00   1.6629E+00
   2.4735E+00   1.6632E+00
   2.4737E+00   1.6637E+00
   2.4741E+00   1.6645E+00
   2.4748E+00   1.6660E+00
   2.4748E+00   1.6660E+00
   2.4748E+00   1.6660E+00
   2.4748E+00   1.6661E+00
   2.4748E+00   1.6661E+00
   2.4748E+00   1.6661E+00
   2.4748E+00   1.6661E+00
   2.4748E+00   1.6661E+00
   2.4748E+00   1.6662E+00
   2.4748E+00   1.6662E+00
   2.4749E+00   1.6664E+00
   2.4750E+00   1.6666E+00
   2.4752E+00   1.6669E+00
   2.4756E+00   1.6676E+00
   2.4759E+00   1.6681E+00
   2.4763E+00   1.6690E+00
   2.4767E+00   1.6697E+00
   2.4771E+00   1.6703E+00
   2.4776E+00   1.6715E+00
   2.4787E+00   1.6734E+00
   2.4787E+00   1.6734E+00
