# Trace from filein = ./62270n01                                                                                                                   
#   time        PRAD                                                                                                                         
   2.4701E+00  -2.3032E-01
   2.4701E+00  -2.3041E-01
   2.4701E+00  -2.3054E-01
   2.4701E+00  -2.3069E-01
   2.4701E+00  -2.3076E-01
   2.4701E+00  -2.3088E-01
   2.4701E+00  -2.3088E-01
   2.4701E+00  -2.3089E-01
   2.4701E+00  -2.3089E-01
   2.4701E+00  -2.3090E-01
   2.4701E+00  -2.3090E-01
   2.4701E+00  -2.3092E-01
   2.4701E+00  -2.3093E-01
   2.4701E+00  -2.3094E-01
   2.4701E+00  -2.3096E-01
   2.4701E+00  -2.3099E-01
   2.4701E+00  -2.3105E-01
   2.4701E+00  -2.3114E-01
   2.4701E+00  -2.3129E-01
   2.4701E+00  -2.3156E-01
   2.4701E+00  -2.3085E-01
   2.4702E+00  -2.1079E-01
   2.4702E+00  -1.7411E-01
   2.4702E+00  -1.4768E-01
   2.4703E+00  -1.3138E-01
   2.4703E+00  -1.2846E-01
   2.4703E+00  -1.2845E-01
   2.4703E+00  -1.2844E-01
   2.4704E+00  -1.2843E-01
   2.4704E+00  -1.2842E-01
   2.4704E+00  -1.2841E-01
   2.4704E+00  -1.2840E-01
   2.4704E+00  -1.2838E-01
   2.4705E+00  -1.2855E-01
   2.4705E+00  -1.2968E-01
   2.4705E+00  -1.3035E-01
   2.4705E+00  -1.2836E-01
   2.4705E+00  -1.2844E-01
   2.4705E+00  -1.3045E-01
   2.4705E+00  -1.3138E-01
   2.4705E+00  -1.2836E-01
   2.4705E+00  -1.2978E-01
   2.4705E+00  -1.3132E-01
   2.4705E+00  -1.3219E-01
   2.4706E+00  -1.3249E-01
   2.4706E+00  -1.3252E-01
   2.4706E+00  -1.3237E-01
   2.4706E+00  -1.3218E-01
   2.4707E+00  -1.3202E-01
   2.4707E+00  -1.3193E-01
   2.4708E+00  -1.3014E-01
   2.4708E+00  -1.3114E-01
   2.4708E+00  -1.3179E-01
   2.4708E+00  -1.3208E-01
   2.4709E+00  -1.3212E-01
   2.4709E+00  -1.3200E-01
   2.4709E+00  -1.3171E-01
   2.4709E+00  -1.3112E-01
   2.4709E+00  -1.3062E-01
   2.4709E+00  -1.2926E-01
   2.4709E+00  -1.2854E-01
   2.4709E+00  -1.2866E-01
   2.4709E+00  -1.2994E-01
   2.4709E+00  -1.3106E-01
   2.4709E+00  -1.3170E-01
   2.4709E+00  -1.3197E-01
   2.4710E+00  -1.3189E-01
   2.4710E+00  -1.3179E-01
   2.4710E+00  -1.3169E-01
   2.4711E+00  -1.3209E-01
   2.4711E+00  -1.3193E-01
   2.4712E+00  -1.3188E-01
   2.4713E+00  -1.3170E-01
   2.4713E+00  -1.3160E-01
   2.4713E+00  -1.3147E-01
   2.4714E+00  -1.3148E-01
   2.4714E+00  -1.3148E-01
   2.4715E+00  -1.3161E-01
   2.4716E+00  -1.3161E-01
   2.4717E+00  -1.3175E-01
   2.4720E+00  -1.3181E-01
   2.4724E+00  -1.3230E-01
   2.4732E+00  -1.3205E-01
   2.4732E+00  -1.3165E-01
   2.4732E+00  -1.2837E-01
   2.4732E+00  -1.2837E-01
   2.4732E+00  -1.2836E-01
   2.4732E+00  -1.2836E-01
   2.4732E+00  -1.2836E-01
   2.4732E+00  -1.2836E-01
   2.4732E+00  -1.2836E-01
   2.4732E+00  -1.2835E-01
   2.4733E+00  -1.2834E-01
   2.4734E+00  -1.2976E-01
   2.4735E+00  -1.3093E-01
   2.4737E+00  -1.3162E-01
   2.4741E+00  -1.3183E-01
   2.4748E+00  -1.3190E-01
   2.4748E+00  -1.3171E-01
   2.4748E+00  -1.2830E-01
   2.4748E+00  -1.2830E-01
   2.4748E+00  -1.2830E-01
   2.4748E+00  -1.2830E-01
   2.4748E+00  -1.2829E-01
   2.4748E+00  -1.2829E-01
   2.4748E+00  -1.2899E-01
   2.4748E+00  -1.3029E-01
   2.4749E+00  -1.3127E-01
   2.4750E+00  -1.3168E-01
   2.4752E+00  -1.3186E-01
   2.4756E+00  -1.3184E-01
   2.4759E+00  -1.3182E-01
   2.4763E+00  -1.3174E-01
   2.4767E+00  -1.3173E-01
   2.4771E+00  -1.3166E-01
   2.4776E+00  -1.3163E-01
   2.4787E+00  -1.3161E-01
   2.4787E+00  -1.3153E-01
   2.4787E+00  -1.2824E-01
   2.4787E+00  -1.2824E-01
   2.4787E+00  -1.2824E-01
   2.4787E+00  -1.2824E-01
   2.4787E+00  -1.2824E-01
   2.4787E+00  -1.2824E-01
   2.4787E+00  -1.2824E-01
   2.4787E+00  -1.2823E-01
   2.4787E+00  -1.2895E-01
   2.4788E+00  -1.3005E-01
   2.4789E+00  -1.3094E-01
   2.4790E+00  -1.3140E-01
   2.4793E+00  -1.3163E-01
   2.4797E+00  -1.3166E-01
   2.4804E+00  -1.3166E-01
   2.4804E+00  -1.3152E-01
   2.4804E+00  -1.2820E-01
   2.4804E+00  -1.2820E-01
   2.4804E+00  -1.2820E-01
   2.4804E+00  -1.2820E-01
   2.4804E+00  -1.2820E-01
   2.4805E+00  -1.2820E-01
   2.4805E+00  -1.2819E-01
   2.4805E+00  -1.2885E-01
   2.4805E+00  -1.2995E-01
   2.4806E+00  -1.3086E-01
   2.4808E+00  -1.3133E-01
   2.4810E+00  -1.3156E-01
   2.4814E+00  -1.3211E-01
   2.4817E+00  -1.3180E-01
   2.4823E+00  -1.3156E-01
   2.4832E+00  -1.3152E-01
   2.4832E+00  -1.3143E-01
   2.4832E+00  -1.2815E-01
   2.4833E+00  -1.2815E-01
   2.4833E+00  -1.2815E-01
   2.4833E+00  -1.2815E-01
   2.4833E+00  -1.2815E-01
   2.4833E+00  -1.2814E-01
   2.4833E+00  -1.2858E-01
   2.4833E+00  -1.2982E-01
   2.4834E+00  -1.3085E-01
   2.4835E+00  -1.3135E-01
   2.4837E+00  -1.3159E-01
   2.4840E+00  -1.3160E-01
   2.4846E+00  -1.3160E-01
