# Trace from filein = ./62270n01                                                                                                                   
#   time        POHT                                                                                                                         
   2.4241E+00   1.9615E-01
   2.4244E+00   1.9613E-01
   2.4249E+00   1.9611E-01
   2.4253E+00   1.9609E-01
   2.4256E+00   1.9606E-01
   2.4261E+00   1.9604E-01
   2.4265E+00   1.9600E-01
   2.4269E+00   1.9598E-01
   2.4274E+00   1.9595E-01
   2.4278E+00   1.9593E-01
   2.4282E+00   1.9590E-01
   2.4287E+00   1.9588E-01
   2.4292E+00   1.9584E-01
   2.4299E+00   1.9590E-01
   2.4299E+00   1.9592E-01
   2.4299E+00   1.9592E-01
   2.4299E+00   1.9592E-01
   2.4299E+00   1.9592E-01
   2.4299E+00   1.9591E-01
   2.4299E+00   1.9591E-01
   2.4299E+00   1.9590E-01
   2.4299E+00   1.9588E-01
   2.4300E+00   1.9586E-01
   2.4300E+00   1.9581E-01
   2.4301E+00   1.9575E-01
   2.4302E+00   1.9571E-01
   2.4304E+00   1.9569E-01
   2.4308E+00   1.9569E-01
   2.4315E+00   1.9569E-01
   2.4315E+00   1.9573E-01
   2.4315E+00   1.9573E-01
   2.4315E+00   1.9573E-01
   2.4315E+00   1.9573E-01
   2.4315E+00   1.9573E-01
   2.4315E+00   1.9572E-01
   2.4315E+00   1.9571E-01
   2.4315E+00   1.9570E-01
   2.4316E+00   1.9568E-01
   2.4316E+00   1.9566E-01
   2.4317E+00   1.9564E-01
   2.4318E+00   1.9563E-01
   2.4320E+00   1.9562E-01
   2.4324E+00   1.9561E-01
   2.4326E+00   1.9558E-01
   2.4330E+00   1.9557E-01
   2.4333E+00   1.9553E-01
   2.4338E+00   1.9551E-01
   2.4341E+00   1.9547E-01
   2.4346E+00   1.9544E-01
   2.4349E+00   1.9540E-01
   2.4352E+00   1.9538E-01
   2.4355E+00   1.9536E-01
   2.4358E+00   1.9535E-01
   2.4362E+00   1.9533E-01
   2.4365E+00   1.9532E-01
   2.4369E+00   1.9529E-01
   2.4377E+00   1.9526E-01
   2.4377E+00   1.9552E-01
   2.4377E+00   1.9552E-01
   2.4377E+00   1.9552E-01
   2.4377E+00   1.9551E-01
   2.4377E+00   1.9551E-01
   2.4377E+00   1.9550E-01
   2.4378E+00   1.9549E-01
   2.4378E+00   1.9547E-01
   2.4378E+00   1.9543E-01
   2.4379E+00   1.9536E-01
   2.4380E+00   1.9527E-01
   2.4381E+00   1.9519E-01
   2.4384E+00   1.9514E-01
   2.4390E+00   1.9513E-01
   2.4399E+00   1.9514E-01
   2.4410E+00   1.9518E-01
   2.4429E+00   1.9515E-01
   2.4462E+00   1.9512E-01
   2.4510E+00   1.9502E-01
   2.4585E+00   1.9485E-01
   2.4660E+00   1.9315E-01
   2.4701E+00   1.9297E-01
   2.4701E+00   1.9407E-01
   2.4701E+00   1.9409E-01
   2.4701E+00   1.9411E-01
   2.4701E+00   1.9413E-01
   2.4701E+00   1.9415E-01
   2.4701E+00   1.9417E-01
   2.4701E+00   1.9418E-01
   2.4701E+00   1.9421E-01
   2.4701E+00   1.9424E-01
   2.4701E+00   1.9428E-01
   2.4701E+00   1.9432E-01
   2.4701E+00   1.9437E-01
   2.4701E+00   1.9444E-01
   2.4701E+00   1.9451E-01
   2.4701E+00   1.9453E-01
   2.4701E+00   1.9458E-01
   2.4701E+00   1.9466E-01
   2.4701E+00   1.9478E-01
   2.4701E+00   1.9493E-01
   2.4701E+00   1.9513E-01
   2.4701E+00   1.9522E-01
   2.4701E+00   1.9537E-01
   2.4701E+00   1.9538E-01
   2.4701E+00   1.9539E-01
   2.4701E+00   1.9539E-01
   2.4701E+00   1.9539E-01
   2.4701E+00   1.9540E-01
   2.4701E+00   1.9542E-01
   2.4701E+00   1.9543E-01
   2.4701E+00   1.9545E-01
