 53212  jet 1                  ;-SHOT #- IDENTIFICATION
 UNKNOWN                       ;-SHOT DATE-
 0                             ;-NUMBER OF ASSOCIATED SCALAR QUANTITIES-
                     SECONDS   ;-INDEPENDENT VARIABLE LABEL-
 AMIN                m         ;-DEPENDENT VARIABLE LABEL-
 0                             ;-STATUS FLAG
        521                    ;-# OF PTS-  X, F(X) DATA FOLLOW:
  8.902577E-01 8.904173E-01 8.906870E-01 8.909566E-01 8.912263E-01 8.914959E-01
  8.917660E-01 8.920356E-01 8.924200E-01 8.929190E-01 8.935646E-01 8.942420E-01
  8.949510E-01 8.956600E-01 8.963690E-01 8.970780E-01 8.977870E-01 8.984960E-01
  8.992050E-01 8.999143E-01 9.002407E-01 9.001836E-01 8.997383E-01 8.992880E-01
  8.988327E-01 8.983773E-01 8.979220E-01 8.974667E-01 8.970153E-01 8.965676E-01
  8.963213E-01 8.962723E-01 8.964210E-01 8.965703E-01 8.967199E-01 8.968703E-01
  8.970210E-01 8.971720E-01 8.973206E-01 8.974667E-01 8.975580E-01 8.975977E-01
  8.975860E-01 8.975753E-01 8.975650E-01 8.975556E-01 8.975473E-01 8.975403E-01
  8.975383E-01 8.975410E-01 8.975923E-01 8.976883E-01 8.978289E-01 8.979700E-01
  8.981106E-01 8.982513E-01 8.983920E-01 8.985330E-01 8.986563E-01 8.987620E-01
  8.987136E-01 8.985283E-01 8.982060E-01 8.978834E-01 8.975607E-01 8.972380E-01
  8.969147E-01 8.965913E-01 8.962530E-01 8.959000E-01 8.954473E-01 8.949096E-01
  8.942870E-01 8.936640E-01 8.930410E-01 8.924176E-01 8.917943E-01 8.911710E-01
  8.905693E-01 8.899893E-01 8.895323E-01 8.891807E-01 8.889350E-01 8.886893E-01
  8.884430E-01 8.881983E-01 8.879637E-01 8.877389E-01 8.875380E-01 8.873580E-01
  8.872480E-01 8.871973E-01 8.872113E-01 8.872406E-01 8.872827E-01 8.873287E-01
  8.873820E-01 8.874450E-01 8.875313E-01 8.876380E-01 8.877743E-01 8.879290E-01
  8.880986E-01 8.882683E-01 8.884380E-01 8.886080E-01 8.887780E-01 8.889476E-01
  8.891300E-01 8.893250E-01 8.895656E-01 8.898396E-01 8.901467E-01 8.904540E-01
  8.907610E-01 8.910683E-01 8.913756E-01 8.916833E-01 8.918976E-01 8.920186E-01
  8.918373E-01 8.914460E-01 8.908453E-01 8.902436E-01 8.896423E-01 8.890410E-01
  8.884400E-01 8.878390E-01 8.870536E-01 8.860840E-01 8.845800E-01 8.827343E-01
  8.805407E-01 8.783503E-01 8.761633E-01 8.739896E-01 8.718280E-01 8.696710E-01
  8.680570E-01 8.669897E-01 8.673697E-01 8.686620E-01 8.708603E-01 8.730660E-01
  8.752756E-01 8.774926E-01 8.797123E-01 8.819340E-01 8.840270E-01 8.859910E-01
  8.876250E-01 8.890606E-01 8.903027E-01 8.915510E-01 8.928060E-01 8.940673E-01
  8.953320E-01 8.965980E-01 8.978123E-01 8.989787E-01 9.000316E-01 9.010220E-01
  9.019480E-01 9.028743E-01 9.038026E-01 9.047350E-01 9.056750E-01 9.066240E-01
  9.075040E-01 9.083130E-01 9.089586E-01 9.095133E-01 9.099759E-01 9.104360E-01
  9.108963E-01 9.113570E-01 9.118180E-01 9.122793E-01 9.126840E-01 9.130320E-01
  9.132660E-01 9.134430E-01 9.135630E-01 9.136833E-01 9.138040E-01 9.139253E-01
  9.140470E-01 9.141687E-01 9.144080E-01 9.147650E-01 9.153443E-01 9.160277E-01
  9.168153E-01 9.176030E-01 9.183910E-01 9.191790E-01 9.199666E-01 9.207543E-01
  9.215299E-01 9.222936E-01 9.230356E-01 9.237679E-01 9.244910E-01 9.252130E-01
  9.259340E-01 9.266540E-01 9.273740E-01 9.280943E-01 9.287813E-01 9.294347E-01
